Job ID,Job Title,Salary,Skills,Location,Years of Experience,Company Name,Mode of Work,skills_tokens,job_title_tokens
11,Senior Data Engineer,$148926,"Data Warehousing, Data Integration, Python, SQL","Peoria, IL",8,AstroTech,Hybrid,"[101, 2951, 16283, 6806, 18161, 1010, 2951, 8346, 1010, 18750, 1010, 29296, 102]","[101, 3026, 2951, 3992, 102]"
12,Senior Systems Analyst,$87359,"Information Security, System Architecture, Networking","Laramie, WY",8,CloudNet Systems,Remote,"[101, 2592, 3036, 1010, 2291, 4294, 1010, 14048, 102]","[101, 3026, 3001, 12941, 102]"
13,Data Scientist,$104832,"Statistical Analysis, Machine Learning, Data Analysis, Python","Cleveland, OH",2,MarketHigh,Remote,"[101, 7778, 4106, 1010, 3698, 4083, 1010, 2951, 4106, 1010, 18750, 102]","[101, 2951, 7155, 102]"
14,Database Developer,$72209,"Oracle, PostgreSQL, SQL Server, NoSQL Databases","Salt Lake City, UT",2,Orion Solutions,Hybrid,"[101, 14721, 1010, 2695, 17603, 2015, 4160, 2140, 1010, 29296, 8241, 1010, 16839, 4160, 2140, 17881, 102]","[101, 7809, 9722, 102]"
15,Product Manager,$138335,"SEO/SEM, Agile Methodologies, Market Research","Albuquerque, NM",1,Agile Development Co.,Onsite,"[101, 27457, 1013, 7367, 2213, 1010, 29003, 4118, 20792, 1010, 3006, 2470, 102]","[101, 4031, 3208, 102]"
16,Senior Data Scientist,$213597,"Deep Learning, Spark, Statistical Analysis, Data Mining","Madison, WI",12,Radiant Solutions,Remote,"[101, 2784, 4083, 1010, 12125, 1010, 7778, 4106, 1010, 2951, 5471, 102]","[101, 3026, 2951, 7155, 102]"
17,Senior Human Resources Manager,$180450,"Recruitment, Diversity and Inclusion, Compliance, Performance Management, Benefits Administration","Albuquerque, NM",14,Omega Mobile,Hybrid,"[101, 15680, 1010, 8906, 1998, 10502, 1010, 12646, 1010, 2836, 2968, 1010, 6666, 3447, 102]","[101, 3026, 2529, 4219, 3208, 102]"
18,Senior Software Tester,$161812,"Bug Tracking, Test Scripts, Selenium, Quality Assurance","Montgomery, AL",11,Lunar Landscapes,Onsite,"[101, 11829, 9651, 1010, 3231, 14546, 1010, 7367, 7770, 5007, 1010, 3737, 16375, 102]","[101, 3026, 4007, 3231, 2121, 102]"
19,Senior Public Health Official,$244074,"Community Health, Emergency Response, Epidemiology, Biostatistics","San Francisco, CA",10,Summit Securities,Onsite,"[101, 2451, 2740, 1010, 5057, 3433, 1010, 4958, 5178, 4328, 6779, 1010, 16012, 9153, 16774, 6558, 102]","[101, 3026, 2270, 2740, 2880, 102]"
20,Senior Sales Associate,$228313,"E-commerce, Product Presentation, CRM","Las Vegas, NV",15,Radiant Solutions,Onsite,"[101, 1041, 1011, 6236, 1010, 4031, 8312, 1010, 13675, 2213, 102]","[101, 3026, 4341, 5482, 102]"
21,Senior Data Security Analyst,$87629,"Network Security, Penetration Testing, Vulnerability Assessment","Las Vegas, NV",6,DataDriven Insights,Remote,"[101, 2897, 3036, 1010, 20015, 5604, 1010, 18130, 7667, 102]","[101, 3026, 2951, 3036, 12941, 102]"
22,Logistics Coordinator,$137800,"Freight Management, Shipping, Warehouse Operations","Saint Paul, MN",4,SysWork,Onsite,"[101, 8441, 2968, 1010, 7829, 1010, 9746, 3136, 102]","[101, 12708, 10669, 102]"
23,Senior Video Game Designer,$173925,"Storytelling, Programming, Game Testing, Game Development Engines, Graphic Design","Billings, MT",14,Quantalytics,Onsite,"[101, 20957, 1010, 4730, 1010, 2208, 5604, 1010, 2208, 2458, 5209, 1010, 8425, 2640, 102]","[101, 3026, 2678, 2208, 5859, 102]"
24,Network Administrator,$59634,"Networking, Network Security, Windows Server, Cloud Computing","Buffalo, NY",5,Omega Mobile,Hybrid,"[101, 14048, 1010, 2897, 3036, 1010, 3645, 8241, 1010, 6112, 9798, 102]","[101, 2897, 8911, 102]"
25,Senior Human Resources Manager,$238305,"Compliance, Performance Management, Diversity and Inclusion","Boise, ID",13,CreativeUX,Onsite,"[101, 12646, 1010, 2836, 2968, 1010, 8906, 1998, 10502, 102]","[101, 3026, 2529, 4219, 3208, 102]"
26,Senior Software Tester,$227340,"Test Scripts, Test Automation, Manual Testing, Security Testing","Las Vegas, NV",12,Urban Dynamics,Hybrid,"[101, 3231, 14546, 1010, 3231, 19309, 1010, 6410, 5604, 1010, 3036, 5604, 102]","[101, 3026, 4007, 3231, 2121, 102]"
27,Senior Public Health Official,$146346,"Biostatistics, Public Health Surveillance, Emergency Response, Community Health","Seattle, WA",7,CryptoLogic,Onsite,"[101, 16012, 9153, 16774, 6558, 1010, 2270, 2740, 9867, 1010, 5057, 3433, 1010, 2451, 2740, 102]","[101, 3026, 2270, 2740, 2880, 102]"
28,Senior Public Health Official,$231408,"Health Education, Emergency Response, Epidemiology, Disease Prevention, Public Health Surveillance","Boise, ID",12,Velvet Ventures,Remote,"[101, 2740, 2495, 1010, 5057, 3433, 1010, 4958, 5178, 4328, 6779, 1010, 4295, 9740, 1010, 2270, 2740, 9867, 102]","[101, 3026, 2270, 2740, 2880, 102]"
29,Senior Biomedical Engineer,$208656,"Regenerative Medicine, Biomechanics, Biomaterials, Medical Instrumentation, Medical Imaging","Atlanta, GA",12,GreenLeaf Technologies,Onsite,"[101, 19723, 24454, 8082, 4200, 1010, 16012, 4168, 14856, 6558, 1010, 16012, 8585, 14482, 2015, 1010, 2966, 16015, 1010, 2966, 12126, 102]","[101, 3026, 20906, 3992, 102]"
30,Senior Public Health Official,$56717,"Global Health Issues, Health Promotion Programs, Community Health","Charleston, WV",7,Digital Dreams,Onsite,"[101, 3795, 2740, 3314, 1010, 2740, 4712, 3454, 1010, 2451, 2740, 102]","[101, 3026, 2270, 2740, 2880, 102]"
31,UX Designer,$57415,"UI/UX Design, Prototype Design, Responsive Design, Photoshop","Rochester, MN",1,Ironclad Tech,Remote,"[101, 21318, 1013, 1057, 2595, 2640, 1010, 8773, 2640, 1010, 26651, 2640, 1010, 7760, 18471, 102]","[101, 1057, 2595, 5859, 102]"
32,Blockchain Developer,$118947,"Smart Contracts, Solidity, Hyperledger, DApp Development","Augusta, GA",0,Velvet Ventures,Onsite,"[101, 6047, 8311, 1010, 5024, 3012, 1010, 23760, 3709, 4590, 1010, 4830, 9397, 2458, 102]","[101, 3796, 24925, 2078, 9722, 102]"
33,Senior Network Administrator,$172627,"Cisco Systems, Network Security, Cybersecurity","Overland Park, KS",9,Rainbow Designs,Remote,"[101, 26408, 3001, 1010, 2897, 3036, 1010, 16941, 3366, 10841, 15780, 102]","[101, 3026, 2897, 8911, 102]"
34,Senior 3D Animator,$196120,"Texturing, Rigging, Animation Software","Saint Louis, MO",10,Echo Enterprises,Remote,"[101, 3793, 12228, 1010, 19838, 4726, 1010, 7284, 4007, 102]","[101, 3026, 7605, 25132, 102]"
35,Senior Fintech Analyst,$73507,"Payment Systems, Cryptocurrency Analysis, Risk Management, Blockchain","Santa Fe, NM",8,New Dawn Technologies,Remote,"[101, 7909, 3001, 1010, 19888, 10085, 3126, 7389, 5666, 4106, 1010, 3891, 2968, 1010, 3796, 24925, 2078, 102]","[101, 3026, 10346, 15007, 12941, 102]"
36,Senior Biomedical Engineer,$126163,"Medical Imaging, Clinical Engineering, Regenerative Medicine, Biomolecular Engineering, Biomaterials","Fargo, ND",7,Springboard Solutions,Onsite,"[101, 2966, 12126, 1010, 6612, 3330, 1010, 19723, 24454, 8082, 4200, 1010, 16012, 5302, 2571, 15431, 3330, 1010, 16012, 8585, 14482, 2015, 102]","[101, 3026, 20906, 3992, 102]"
37,Cloud Solutions Architect,$146139,"Azure, Cloud Migration, Cloud Security","Norman, OK",4,WriteIt,Remote,"[101, 24296, 1010, 6112, 9230, 1010, 6112, 3036, 102]","[101, 6112, 7300, 4944, 102]"
38,Senior Microsoft CRM Developer,$42176,"PowerApps, Javascript, SQL Server","Las Cruces, NM",8,Vivid Visions,Hybrid,"[101, 2373, 29098, 2015, 1010, 9262, 22483, 1010, 29296, 8241, 102]","[101, 3026, 7513, 13675, 2213, 9722, 102]"
39,Graphic Designer,$86098,"Print Design, Typography, Animation","Orlando, FL",4,DataDriven Insights,Onsite,"[101, 6140, 2640, 1010, 5939, 6873, 12565, 1010, 7284, 102]","[101, 8425, 5859, 102]"
40,Corporate Lawyer,$48490,"Intellectual Property, M&A, Corporate Finance Law, Litigation, Labor Law","Baltimore, MD",0,Mirage Media,Onsite,"[101, 7789, 3200, 1010, 1049, 1004, 1037, 1010, 5971, 5446, 2375, 1010, 15382, 1010, 4450, 2375, 102]","[101, 5971, 5160, 102]"
41,AI Research Scientist,$76589,"Computer Vision, Machine Learning, Reinforcement Learning","Jefferson City, MO",2,Digital Dynamo,Remote,"[101, 3274, 4432, 1010, 3698, 4083, 1010, 23895, 4083, 102]","[101, 9932, 2470, 7155, 102]"
42,Senior Mobile App Developer,$209498,"Cross-Platform Development, iOS Development, Android Development","Los Angeles, CA",12,Iris Innovations,Remote,"[101, 2892, 1011, 4132, 2458, 1010, 16380, 2458, 1010, 11924, 2458, 102]","[101, 3026, 4684, 10439, 9722, 102]"
43,Systems Analyst,$51689,"Data Analysis, Linux, System Architecture, Troubleshooting, Project Management","Rochester, MN",2,Visionary Apps,Hybrid,"[101, 2951, 4106, 1010, 11603, 1010, 2291, 4294, 1010, 13460, 23416, 2075, 1010, 2622, 2968, 102]","[101, 3001, 12941, 102]"
44,Senior Web Developer,$149851,"Angular, PHP, Ruby on Rails","Fairbanks, AK",7,DataTrend,Hybrid,"[101, 16108, 1010, 25718, 1010, 10090, 2006, 15168, 102]","[101, 3026, 4773, 9722, 102]"
45,Senior Software Tester,$163895,"Bug Tracking, Quality Assurance, Regression Testing, Selenium, Security Testing","Anchorage, AK",10,UrbanTech,Onsite,"[101, 11829, 9651, 1010, 3737, 16375, 1010, 26237, 5604, 1010, 7367, 7770, 5007, 1010, 3036, 5604, 102]","[101, 3026, 4007, 3231, 2121, 102]"
46,Cybersecurity Analyst,$45166,"Malware Analysis, Firewalls, Risk Assessment, Cybersecurity, Compliance","Mesa, AZ",0,Jade Services,Onsite,"[101, 15451, 8059, 4106, 1010, 2543, 9628, 2015, 1010, 3891, 7667, 1010, 16941, 3366, 10841, 15780, 1010, 12646, 102]","[101, 16941, 3366, 10841, 15780, 12941, 102]"
47,Senior Real Estate Agent,$204281,"Property Management, Negotiation, Leasing Agreements","Bismarck, ND",12,Rainbow Designs,Hybrid,"[101, 3200, 2968, 1010, 19905, 1010, 26707, 10540, 102]","[101, 3026, 2613, 3776, 4005, 102]"
48,Senior Software Tester,$194975,"Manual Testing, Regression Testing, Performance Testing","Sioux Falls, SD",13,New Dawn Technologies,Hybrid,"[101, 6410, 5604, 1010, 26237, 5604, 1010, 2836, 5604, 102]","[101, 3026, 4007, 3231, 2121, 102]"
49,Senior Marketing Specialist,$195394,"SEO/SEM, Google Analytics, Marketing Strategy, Campaign Management, Email Marketing","Las Cruces, NM",14,Celestial Systems,Remote,"[101, 27457, 1013, 7367, 2213, 1010, 8224, 25095, 1010, 5821, 5656, 1010, 3049, 2968, 1010, 10373, 5821, 102]","[101, 3026, 5821, 8325, 102]"
50,Senior Data Scientist,$200512,"Data Analysis, Spark, Machine Learning, Data Mining","Austin, TX",12,Platinum Enterprises,Remote,"[101, 2951, 4106, 1010, 12125, 1010, 3698, 4083, 1010, 2951, 5471, 102]","[101, 3026, 2951, 7155, 102]"
51,Senior Marketing Specialist,$244797,"AdWords, Social Media, Marketing Strategy, Email Marketing, Brand Management","Greenville, SC",10,Terra Firma Technologies,Onsite,"[101, 4748, 22104, 1010, 2591, 2865, 1010, 5821, 5656, 1010, 10373, 5821, 1010, 4435, 2968, 102]","[101, 3026, 5821, 8325, 102]"
52,Mobile App Developer,$74338,"Android Development, Mobile Development, Kotlin","Phoenix, AZ",1,Solar Flare Studios,Remote,"[101, 11924, 2458, 1010, 4684, 2458, 1010, 12849, 19646, 2378, 102]","[101, 4684, 10439, 9722, 102]"
53,Mobile App Developer,$54038,"Swift, App Store Optimization, Kotlin","Montpelier, VT",1,Emerald Enterprises,Hybrid,"[101, 9170, 1010, 10439, 3573, 20600, 1010, 12849, 19646, 2378, 102]","[101, 4684, 10439, 9722, 102]"
54,Cloud Solutions Architect,$118803,"Azure, Cloud Security, Cloud Storage Solutions, Docker","Las Vegas, NV",0,CryptoLogic,Hybrid,"[101, 24296, 1010, 6112, 3036, 1010, 6112, 5527, 7300, 1010, 8946, 2121, 102]","[101, 6112, 7300, 4944, 102]"
55,Senior Foreign Language Translator,$96159,"Language Proficiency, Simultaneous Translation, Multilingual Communication, Document Translation","Oklahoma City, OK",7,Ironclad Tech,Remote,"[101, 2653, 26293, 1010, 17424, 5449, 1010, 4800, 2989, 8787, 4807, 1010, 6254, 5449, 102]","[101, 3026, 3097, 2653, 11403, 102]"
56,Senior Real Estate Agent,$131752,"Real Estate Economics, Sales, Property Law","Huntington, WV",8,Solar Flare Studios,Hybrid,"[101, 2613, 3776, 5543, 1010, 4341, 1010, 3200, 2375, 102]","[101, 3026, 2613, 3776, 4005, 102]"
57,Corporate Lawyer,$105287,"Corporate Finance Law, Litigation, Labor Law, Corporate Governance","Eugene, OR",4,Velvet Ventures,Remote,"[101, 5971, 5446, 2375, 1010, 15382, 1010, 4450, 2375, 1010, 5971, 10615, 102]","[101, 5971, 5160, 102]"
58,Cybersecurity Analyst,$50996,"Ethical Hacking, Network Security, Intrusion Detection, Security Audits","Fayetteville, AR",3,Diamond Dynamics,Onsite,"[101, 12962, 23707, 1010, 2897, 3036, 1010, 24554, 10788, 1010, 3036, 15727, 2015, 102]","[101, 16941, 3366, 10841, 15780, 12941, 102]"
59,Senior Sales Associate,$75321,"Sales Techniques, Customer Service, Salesforce, E-commerce, Client Relationship Management","Topeka, KS",8,EcoSystems,Onsite,"[101, 4341, 5461, 1010, 8013, 2326, 1010, 4341, 14821, 1010, 1041, 1011, 6236, 1010, 7396, 3276, 2968, 102]","[101, 3026, 4341, 5482, 102]"
60,Senior Mobile App Developer,$199903,"Mobile Development, Cross-Platform Development, Swift, Mobile UI/UX Design, Firebase","Overland Park, KS",10,CapitalTech,Onsite,"[101, 4684, 2458, 1010, 2892, 1011, 4132, 2458, 1010, 9170, 1010, 4684, 21318, 1013, 1057, 2595, 2640, 1010, 2543, 15058, 102]","[101, 3026, 4684, 10439, 9722, 102]"
61,Senior Corporate Lawyer,$201320,"Labor Law, Litigation, Dispute Resolution","Portland, OR",9,Titan Tech,Hybrid,"[101, 4450, 2375, 1010, 15382, 1010, 7593, 5813, 102]","[101, 3026, 5971, 5160, 102]"
62,Senior Fintech Analyst,$230882,"Machine Learning, Python, Regulatory Knowledge, Risk Management","Topeka, KS",11,Crown Computing,Remote,"[101, 3698, 4083, 1010, 18750, 1010, 10738, 3716, 1010, 3891, 2968, 102]","[101, 3026, 10346, 15007, 12941, 102]"
63,Senior Software Tester,$146083,"Bug Tracking, Regression Testing, Selenium, Quality Assurance, Performance Testing","Cedar Rapids, IA",7,Silicon Valley Data Systems,Remote,"[101, 11829, 9651, 1010, 26237, 5604, 1010, 7367, 7770, 5007, 1010, 3737, 16375, 1010, 2836, 5604, 102]","[101, 3026, 4007, 3231, 2121, 102]"
64,Technical Writer,$134830,"Technical Diagrams, Editing, Markdown, User Manuals, Online Help Systems","Carson City, NV",1,SysWork,Remote,"[101, 4087, 26309, 1010, 9260, 1010, 2928, 7698, 1010, 5310, 6410, 2015, 1010, 3784, 2393, 3001, 102]","[101, 4087, 3213, 102]"
65,Cloud Solutions Architect,$125000,"Kubernetes, Google Cloud, AWS, Docker, Cloud Migration","Dallas, TX",5,CapitalTech,Remote,"[101, 13970, 5677, 7159, 2229, 1010, 8224, 6112, 1010, 22091, 2015, 1010, 8946, 2121, 1010, 6112, 9230, 102]","[101, 6112, 7300, 4944, 102]"
66,Data Security Analyst,$126796,"Penetration Testing, Network Security, Compliance Standards","Louisville, KY",1,GoldenGate Tech,Onsite,"[101, 20015, 5604, 1010, 2897, 3036, 1010, 12646, 4781, 102]","[101, 2951, 3036, 12941, 102]"
67,Senior Foreign Language Translator,$219577,"Multilingual Communication, Interpreting, Localization, Simultaneous Translation","Jefferson City, MO",13,MediTech Solutions,Remote,"[101, 4800, 2989, 8787, 4807, 1010, 25455, 1010, 2334, 3989, 1010, 17424, 5449, 102]","[101, 3026, 3097, 2653, 11403, 102]"
68,Human Resources Manager,$108498,"Recruitment, Diversity and Inclusion, Training, Benefits Administration","Newark, DE",3,Marble Media,Remote,"[101, 15680, 1010, 8906, 1998, 10502, 1010, 2731, 1010, 6666, 3447, 102]","[101, 2529, 4219, 3208, 102]"
69,Senior DevOps Engineer,$75559,"Monitoring and Logging, Kubernetes, Linux, Scripting, Jenkins","Austin, TX",6,Solar Flare Studios,Hybrid,"[101, 8822, 1998, 15899, 1010, 13970, 5677, 7159, 2229, 1010, 11603, 1010, 5896, 2075, 1010, 11098, 102]","[101, 3026, 16475, 11923, 3992, 102]"
70,Video Game Designer,$81321,"Interactive Storytelling, Game Development Engines, Player Psychology","Davenport, IA",1,SysWork,Onsite,"[101, 9123, 20957, 1010, 2208, 2458, 5209, 1010, 2447, 6825, 102]","[101, 2678, 2208, 5859, 102]"
71,Database Developer,$82817,"NoSQL Databases, Performance Tuning, MongoDB","Los Angeles, CA",2,Vortex Dynamics,Remote,"[101, 16839, 4160, 2140, 17881, 1010, 2836, 17372, 1010, 12256, 3995, 18939, 102]","[101, 7809, 9722, 102]"
72,Fintech Analyst,$117510,"Financial Modeling, Machine Learning, Blockchain, Python","Chicago, IL",2,Velvet Ventures,Remote,"[101, 3361, 11643, 1010, 3698, 4083, 1010, 3796, 24925, 2078, 1010, 18750, 102]","[101, 10346, 15007, 12941, 102]"
73,Senior 3D Animator,$161586,"Animation Software, Texturing, Animation, Motion Capture, Character Animation","Missoula, MT",11,Oasis Outsourcing,Hybrid,"[101, 7284, 4007, 1010, 3793, 12228, 1010, 7284, 1010, 4367, 5425, 1010, 2839, 7284, 102]","[101, 3026, 7605, 25132, 102]"
74,Senior AI Research Scientist,$182445,"Natural Language Processing, Deep Learning, Reinforcement Learning, TensorFlow, Computer Vision","Rockville, MD",12,Twilight Technologies,Remote,"[101, 3019, 2653, 6364, 1010, 2784, 4083, 1010, 23895, 4083, 1010, 23435, 12314, 1010, 3274, 4432, 102]","[101, 3026, 9932, 2470, 7155, 102]"
75,Senior Product Manager,$76770,"Project Management, Market Research, User Experience Design, Public Speaking","Reno, NV",8,Crimson Technology,Onsite,"[101, 2622, 2968, 1010, 3006, 2470, 1010, 5310, 3325, 2640, 1010, 2270, 4092, 102]","[101, 3026, 4031, 3208, 102]"
76,Senior Product Manager,$153641,"Business Analysis, Data-Driven Decision Making, Project Management, Agile Methodologies","Stamford, CT",13,SysWork,Hybrid,"[101, 2449, 4106, 1010, 2951, 1011, 5533, 3247, 2437, 1010, 2622, 2968, 1010, 29003, 4118, 20792, 102]","[101, 3026, 4031, 3208, 102]"
77,3D Animator,$52118,"3D Modeling, Animation Software, Texturing","Honolulu, HI",0,Echo Enterprises,Hybrid,"[101, 7605, 11643, 1010, 7284, 4007, 1010, 3793, 12228, 102]","[101, 7605, 25132, 102]"
78,Senior Technical Writer,$66213,"User Manuals, API Documentation, Content Management Systems, Online Help Systems","Salt Lake City, UT",8,MediTech Solutions,Remote,"[101, 5310, 6410, 2015, 1010, 17928, 12653, 1010, 4180, 2968, 3001, 1010, 3784, 2393, 3001, 102]","[101, 3026, 4087, 3213, 102]"
79,Senior Biomedical Engineer,$194320,"Medical Instrumentation, Biomolecular Engineering, Biomedical Devices, Biomechanics, Healthcare Technologies","Charleston, SC",11,Platinum Enterprises,Hybrid,"[101, 2966, 16015, 1010, 16012, 5302, 2571, 15431, 3330, 1010, 20906, 5733, 1010, 16012, 4168, 14856, 6558, 1010, 9871, 6786, 102]","[101, 3026, 20906, 3992, 102]"
80,Senior Environmental Scientist,$116989,"Ecology, Conservation Strategies, Sustainability, Waste Management","Springfield, IL",6,Titan Tech,Hybrid,"[101, 13517, 1010, 5680, 9942, 1010, 15169, 1010, 5949, 2968, 102]","[101, 3026, 4483, 7155, 102]"
81,Systems Analyst,$86739,"Cloud Computing, Project Management, SQL, Networking, Data Analysis","San Francisco, CA",4,CapitalTech,Onsite,"[101, 6112, 9798, 1010, 2622, 2968, 1010, 29296, 1010, 14048, 1010, 2951, 4106, 102]","[101, 3001, 12941, 102]"
82,Senior Network Administrator,$209611,"Networking, Docker, Remote Support","Cincinnati, OH",15,Pegasus Properties,Hybrid,"[101, 14048, 1010, 8946, 2121, 1010, 6556, 2490, 102]","[101, 3026, 2897, 8911, 102]"
83,Foreign Language Translator,$108783,"Cultural Awareness, Localization, Simultaneous Translation, Language Proficiency, Document Translation","Columbia, SC",2,Streamline Studios,Hybrid,"[101, 3451, 7073, 1010, 2334, 3989, 1010, 17424, 5449, 1010, 2653, 26293, 1010, 6254, 5449, 102]","[101, 3097, 2653, 11403, 102]"
84,Senior Network Administrator,$214757,"Cybersecurity, VPN, Networking, Firewall Management, Remote Support","Bellevue, NE",12,Platinum Enterprises,Onsite,"[101, 16941, 3366, 10841, 15780, 1010, 21210, 2078, 1010, 14048, 1010, 2543, 9628, 2968, 1010, 6556, 2490, 102]","[101, 3026, 2897, 8911, 102]"
85,DevOps Engineer,$85420,"Jenkins, Scripting, Automation Tools, Kubernetes, Cloud Deployment","Omaha, NE",2,Radiant Solutions,Onsite,"[101, 11098, 1010, 5896, 2075, 1010, 19309, 5906, 1010, 13970, 5677, 7159, 2229, 1010, 6112, 10813, 102]","[101, 16475, 11923, 3992, 102]"
86,Cloud Solutions Architect,$90410,"Serverless Architectures, Kubernetes, Docker","Memphis, TN",4,Phoenix Enterprises,Remote,"[101, 8241, 3238, 4294, 2015, 1010, 13970, 5677, 7159, 2229, 1010, 8946, 2121, 102]","[101, 6112, 7300, 4944, 102]"
87,Marketing Specialist,$111451,"Marketing Strategy, Google Analytics, Content Creation, SEO/SEM","Grand Rapids, MI",3,SalesForce,Remote,"[101, 5821, 5656, 1010, 8224, 25095, 1010, 4180, 4325, 1010, 27457, 1013, 7367, 2213, 102]","[101, 5821, 8325, 102]"
88,Marketing Specialist,$85560,"Brand Management, SEO/SEM, Campaign Management, Email Marketing, Marketing Strategy","Manchester, NH",2,Gemini Solutions,Remote,"[101, 4435, 2968, 1010, 27457, 1013, 7367, 2213, 1010, 3049, 2968, 1010, 10373, 5821, 1010, 5821, 5656, 102]","[101, 5821, 8325, 102]"
89,Database Developer,$67495,"Microsoft Access, Cassandra, PostgreSQL, MySQL","Columbia, SC",4,Summit Securities,Remote,"[101, 7513, 3229, 1010, 15609, 1010, 2695, 17603, 2015, 4160, 2140, 1010, 2026, 2015, 4160, 2140, 102]","[101, 7809, 9722, 102]"
90,Senior Product Manager,$237501,"SEO/SEM, Product Lifecycle Management, Agile Methodologies, Marketing","Peoria, IL",9,DesignHub,Remote,"[101, 27457, 1013, 7367, 2213, 1010, 4031, 2166, 23490, 2968, 1010, 29003, 4118, 20792, 1010, 5821, 102]","[101, 3026, 4031, 3208, 102]"
91,Senior Cloud Solutions Architect,$213140,"Docker, Cloud Security, Cloud Migration","Worcester, MA",10,Pixel Graphics,Onsite,"[101, 8946, 2121, 1010, 6112, 3036, 1010, 6112, 9230, 102]","[101, 3026, 6112, 7300, 4944, 102]"
92,Data Engineer,$77394,"Data Modeling, Apache Spark, Python, Data Warehousing, SQL","Fargo, ND",1,Streamline Studios,Onsite,"[101, 2951, 11643, 1010, 15895, 12125, 1010, 18750, 1010, 2951, 16283, 6806, 18161, 1010, 29296, 102]","[101, 2951, 3992, 102]"
93,Graphic Designer,$129734,"Typography, Sketch, Web Design, User Interface Design","Provo, UT",3,Springboard Solutions,Onsite,"[101, 5939, 6873, 12565, 1010, 11080, 1010, 4773, 2640, 1010, 5310, 8278, 2640, 102]","[101, 8425, 5859, 102]"
94,Senior 3D Animator,$198350,"Visual Effects, 3D Modeling, Animation Software, Animation","Albany, NY",14,Starlight Media,Hybrid,"[101, 5107, 3896, 1010, 7605, 11643, 1010, 7284, 4007, 1010, 7284, 102]","[101, 3026, 7605, 25132, 102]"
95,Senior SEO Consultant,$217278,"SEO Strategy, SEO, Content Optimization, Local SEO, Search Engine Algorithms","Saint Louis, MO",10,GoldenGate Tech,Onsite,"[101, 27457, 5656, 1010, 27457, 1010, 4180, 20600, 1010, 2334, 27457, 1010, 3945, 3194, 13792, 102]","[101, 3026, 27457, 8930, 102]"
96,Senior Network Administrator,$154572,"Cybersecurity, Linux, Networking, Docker","Omaha, NE",13,Shadowfax Technologies,Remote,"[101, 16941, 3366, 10841, 15780, 1010, 11603, 1010, 14048, 1010, 8946, 2121, 102]","[101, 3026, 2897, 8911, 102]"
